Waktu,Vc(V)
0.000000,-30.000000
0.000010,50.000000
0.000020,-30.000000
0.000030,50.000000
0.000040,-30.000000
0.000050,50.000000
0.000060,-30.000000
0.000070,50.000000
0.000080,-30.000000
0.000090,50.000000
0.000100,-30.000000
0.000110,50.000000
0.000120,-30.000000
0.000130,50.000000
0.000140,-30.000000
0.000150,50.000000
0.000160,-30.000000
0.000170,50.000000
0.000180,-30.000000
0.000190,50.000000
0.000200,-30.000000
0.000210,50.000000
0.000220,-30.000000
0.000230,50.000000
0.000240,-30.000000
0.000250,50.000000
0.000260,-30.000000
0.000270,50.000000
0.000280,-30.000000
0.000290,50.000000
0.000300,-30.000000
0.000310,50.000000
0.000320,-30.000000
0.000330,50.000000
0.000340,-30.000000
0.000350,50.000000
0.000360,-30.000000
0.000370,50.000000
0.000380,-30.000000
0.000390,50.000000
0.000400,-30.000000
0.000410,50.000000
0.000420,-30.000000
0.000430,50.000000
0.000440,-30.000000
0.000450,50.000000
0.000460,-30.000000
0.000470,50.000000
0.000480,-30.000000
0.000490,50.000000
0.000500,-30.000000
0.000510,50.000000
0.000520,-30.000000
0.000530,50.000000
0.000540,-30.000000
0.000550,50.000000
0.000560,-30.000000
0.000570,50.000000
0.000580,-30.000000
0.000590,50.000000
0.000600,-30.000000
0.000610,50.000000
0.000620,-30.000000
0.000630,50.000000
0.000640,-30.000000
0.000650,50.000000
0.000660,-30.000000
0.000670,50.000000
0.000680,-30.000000
0.000690,50.000000
0.000700,-30.000000
0.000710,50.000000
0.000720,-30.000000
0.000730,50.000000
0.000740,-30.000000
0.000750,50.000000
0.000760,-30.000000
0.000770,50.000000
0.000780,-30.000000
0.000790,50.000000
0.000800,-30.000000
0.000810,50.000000
0.000820,-30.000000
0.000830,50.000000
0.000840,-30.000000
0.000850,50.000000
0.000860,-30.000000
0.000870,50.000000
0.000880,-30.000000
0.000890,50.000000
0.000900,-30.000000
0.000910,50.000000
0.000920,-30.000000
0.000930,50.000000
0.000940,-30.000000
0.000950,50.000000
0.000960,-30.000000
0.000970,50.000000
0.000980,-30.000000
0.000990,50.000000
0.001000,-30.000000
0.001010,50.000000
0.001020,-30.000000
0.001030,50.000000
0.001040,-30.000000
0.001050,50.000000
0.001060,-30.000000
0.001070,50.000000
0.001080,-30.000000
0.001090,50.000000
0.001100,-30.000000
0.001110,50.000000
0.001120,-30.000000
0.001130,50.000000
0.001140,-30.000000
0.001150,50.000000
0.001160,-30.000000
0.001170,50.000000
0.001180,-30.000000
0.001190,50.000000
0.001200,-30.000000
0.001210,50.000000
0.001220,-30.000000
0.001230,50.000000
0.001240,-30.000000
0.001250,50.000000
0.001260,-30.000000
0.001270,50.000000
0.001280,-30.000000
0.001290,50.000000
0.001300,-30.000000
0.001310,50.000000
0.001320,-30.000000
0.001330,50.000000
0.001340,-30.000000
0.001350,50.000000
0.001360,-30.000000
0.001370,50.000000
0.001380,-30.000000
0.001390,50.000000
0.001400,-30.000000
0.001410,50.000000
0.001420,-30.000000
0.001430,50.000000
0.001440,-30.000000
0.001450,50.000000
0.001460,-30.000000
0.001470,50.000000
0.001480,-30.000000
0.001490,50.000000
0.001500,-30.000000
0.001510,50.000000
0.001520,-30.000000
0.001530,50.000000
0.001540,-30.000000
0.001550,50.000000
0.001560,-30.000000
0.001570,50.000000
0.001580,-30.000000
0.001590,50.000000
0.001600,-30.000000
0.001610,50.000000
0.001620,-30.000000
0.001630,50.000000
0.001640,-30.000000
0.001650,50.000000
0.001660,-30.000000
0.001670,50.000000
0.001680,-30.000000
0.001690,50.000000
0.001700,-30.000000
0.001710,50.000000
0.001720,-30.000000
0.001730,50.000000
0.001740,-30.000000
0.001750,50.000000
0.001760,-30.000000
0.001770,50.000000
0.001780,-30.000000
0.001790,50.000000
0.001800,-30.000000
0.001810,50.000000
0.001820,-30.000000
0.001830,50.000000
0.001840,-30.000000
0.001850,50.000000
0.001860,-30.000000
0.001870,50.000000
0.001880,-30.000000
0.001890,50.000000
0.001900,-30.000000
0.001910,50.000000
0.001920,-30.000000
0.001930,50.000000
0.001940,-30.000000
0.001950,50.000000
0.001960,-30.000000
0.001970,50.000000
0.001980,-30.000000
0.001990,50.000000
0.002000,-30.000000
0.002010,50.000000
0.002020,-30.000000
0.002030,50.000000
0.002040,-30.000000
0.002050,50.000000
0.002060,-30.000000
0.002070,50.000000
0.002080,-30.000000
0.002090,50.000000
0.002100,-30.000000
0.002110,50.000000
0.002120,-30.000000
0.002130,50.000000
0.002140,-30.000000
0.002150,50.000000
