Waktu (s);Vo (V);I (A)
2.1700;0.8858;0.1142 
2.1800;0.8870;0.1130 
2.1900;0.8881;0.1119 
2.2000;0.8892;0.1108 
2.2100;0.8903;0.1097 
2.2200;0.8914;0.1086 
2.2300;0.8925;0.1075 
2.2400;0.8935;0.1065 
2.2500;0.8946;0.1054 
2.2600;0.8957;0.1043 
2.2700;0.8967;0.1033 
2.2800;0.8977;0.1023 
2.2900;0.8987;0.1013 
2.3000;0.8997;0.1003 
2.3100;0.9007;0.0993 
2.3200;0.9017;0.0983 
2.3300;0.9027;0.0973 
2.3400;0.9037;0.0963 
2.3500;0.9046;0.0954 
2.3600;0.9056;0.0944 
2.3700;0.9065;0.0935 
2.3800;0.9075;0.0925 
2.3900;0.9084;0.0916 
2.4000;0.9093;0.0907 
2.4100;0.9102;0.0898 
2.4200;0.9111;0.0889 
2.4300;0.9120;0.0880 
2.4400;0.9128;0.0872 
2.4500;0.9137;0.0863 
2.4600;0.9146;0.0854 
2.4700;0.9154;0.0846 
2.4800;0.9163;0.0837 
2.4900;0.9171;0.0829 
2.5000;0.9179;0.0821 
2.5100;0.9187;0.0813 
2.5200;0.9195;0.0805 
2.5300;0.9203;0.0797 
2.5400;0.9211;0.0789 
2.5500;0.9219;0.0781 
2.5600;0.9227;0.0773 
2.5700;0.9235;0.0765 
2.5800;0.9242;0.0758 
2.5900;0.9250;0.0750 
2.6000;0.9257;0.0743 
2.6100;0.9265;0.0735 
2.6200;0.9272;0.0728 
2.6300;0.9279;0.0721 
2.6400;0.9286;0.0714 
2.6500;0.9294;0.0707 
2.6600;0.9301;0.0699 
2.6700;0.9307;0.0693 
2.6800;0.9314;0.0686 
2.6900;0.9321;0.0679 
2.7000;0.9328;0.0672 
2.7100;0.9335;0.0665 
2.7200;0.9341;0.0659 
2.7300;0.9348;0.0652 
2.7400;0.9354;0.0646 
2.7500;0.9361;0.0639 
2.7600;0.9367;0.0633 
2.7700;0.9373;0.0627 
2.7800;0.9380;0.0620 
2.7900;0.9386;0.0614 
2.8000;0.9392;0.0608 
2.8100;0.9398;0.0602 
2.8200;0.9404;0.0596 
2.8300;0.9410;0.0590 
2.8400;0.9416;0.0584 
2.8500;0.9422;0.0578 
2.8600;0.9427;0.0573 
2.8700;0.9433;0.0567 
2.8800;0.9439;0.0561 
2.8900;0.9444;0.0556 
2.9000;0.9450;0.0550 
2.9100;0.9455;0.0545 
2.9200;0.9461;0.0539 
2.9300;0.9466;0.0534 
2.9400;0.9471;0.0529 
2.9500;0.9477;0.0523 
2.9600;0.9482;0.0518 
2.9700;0.9487;0.0513 
2.9800;0.9492;0.0508 
2.9900;0.9497;0.0503 
3.0000;0.9502;0.0498 
3.0100;0.9507;0.0493 
3.0200;0.9512;0.0488 
3.0300;0.9517;0.0483 
3.0400;0.9522;0.0478 
3.0500;0.9526;0.0474 
3.0600;0.9531;0.0469 
3.0700;0.9536;0.0464 
3.0800;0.9540;0.0460 
3.0900;0.9545;0.0455 
3.1000;0.9550;0.0450 
3.1100;0.9554;0.0446 
3.1200;0.9558;0.0442 
3.1300;0.9563;0.0437 
3.1400;0.9567;0.0433 
3.1500;0.9571;0.0429 
3.1600;0.9576;0.0424 
3.1700;0.9580;0.0420 
3.1800;0.9584;0.0416 
3.1900;0.9588;0.0412 
3.2000;0.9592;0.0408 
3.2100;0.9596;0.0404 
3.2200;0.9600;0.0400 
3.2300;0.9604;0.0396 
3.2400;0.9608;0.0392 
3.2500;0.9612;0.0388 
3.2600;0.9616;0.0384 
3.2700;0.9620;0.0380 
3.2800;0.9624;0.0376 
3.2900;0.9627;0.0373 
3.3000;0.9631;0.0369 
3.3100;0.9635;0.0365 
3.3200;0.9638;0.0362 
3.3300;0.9642;0.0358 
3.3400;0.9646;0.0354 
3.3500;0.9649;0.0351 
3.3600;0.9653;0.0347 
3.3700;0.9656;0.0344 
3.3800;0.9660;0.0340 
3.3900;0.9663;0.0337 
3.4000;0.9666;0.0334 
3.4100;0.9670;0.0330 
3.4200;0.9673;0.0327 
3.4300;0.9676;0.0324 
3.4400;0.9679;0.0321 
3.4500;0.9683;0.0317 
3.4600;0.9686;0.0314 
3.4700;0.9689;0.0311 
3.4800;0.9692;0.0308 
3.4900;0.9695;0.0305 
3.5000;0.9698;0.0302 
3.5100;0.9701;0.0299 
3.5200;0.9704;0.0296 
3.5300;0.9707;0.0293 
3.5400;0.9710;0.0290 
3.5500;0.9713;0.0287 
3.5600;0.9716;0.0284 
3.5700;0.9718;0.0282 
3.5800;0.9721;0.0279 
